number,hhid,region,mpi_status,protected_exposure_5km,protected_exposure_10km,protected_exposure_15km,head_sex,head_age,marital_status,hsize,working_rate,distance_from_nearest_city_km,hfi_2016,elevation_km,slope_o,tourism_exposure,pub_lat_mod
1604,H2440901,Northern,1,0.067011768,0.065558257,0.060700102,1,58,1,7,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1606,H2441101,Northern,1,0.067011768,0.065558257,0.060700102,0,36,0,6,0.5,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1607,H2450202,Northern,1,0.842446403,0.84837041,0.818342682,1,20,0,3,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1608,H2450501,Northern,0,0.842446403,0.84837041,0.818342682,1,44,1,4,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1609,H2450601,Northern,1,0.842446403,0.84837041,0.818342682,0,35,0,4,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1610,H2450602,Northern,1,0.842446403,0.84837041,0.818342682,0,53,0,6,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1611,H2450901,Northern,1,0.842446403,0.84837041,0.818342682,0,64,0,10,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1612,H2451001,Northern,1,0.842446403,0.84837041,0.818342682,0,51,0,8,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1613,H2451003,Northern,0,0.842446403,0.84837041,0.818342682,1,23,0,3,1,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1614,H2451101,Northern,1,0.842446403,0.84837041,0.818342682,1,35,0,7,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1615,H2451201,Northern,1,0.842446403,0.84837041,0.818342682,0,67,0,3,0,76.49363767,19.02428818,1456.3125,1.507762432,0,1.8455892
1616,H2460101,Northern,1,0,0,0,1,67,1,4,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1617,H2460301,Northern,1,0,0,0,1,39,1,9,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1619,H2460401,Northern,1,0,0,0,0,35,0,8,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1620,H2460501,Northern,1,0,0,0,0,50,0,10,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1621,H2460601,Northern,1,0,0,0,1,40,0,7,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1622,H2460701,Northern,1,0,0,0,1,38,0,4,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1623,H2460801,Northern,1,0,0,0,1,40,0,7,0.333333333,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1624,H2461001,Northern,1,0,0,0,1,69,1,4,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1625,H2461002,Northern,1,0,0,0,1,35,0,5,0,20.51698588,15.79449272,1258.0625,0.363193512,0,2.3574443
1627,H2480201,Northern,1,0.059901262,0.176579515,0.248870385,0,38,0,8,0,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1628,H2480202,Northern,1,0,0.023057105,0.010286206,0,39,0,7,0,53.61482618,25.01159096,988.125,1.172567606,0,3.4174073
1629,H2480301,Northern,1,0.059901262,0.176579515,0.248870385,1,45,0,1,0,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1631,H2480501,Northern,1,0.059901262,0.176579515,0.248870385,0,51,0,6,0.5,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1632,H2480601,Northern,1,0.059901262,0.176579515,0.248870385,1,57,0,4,0,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1633,H2480801,Northern,1,0.059901262,0.176579515,0.248870385,1,44,0,5,1,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1634,H2480901,Northern,1,0.059901262,0.176579515,0.248870385,0,43,0,10,0,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
1635,H2481101,Northern,1,0.059901262,0.176579515,0.248870385,1,58,0,8,0.333333333,66.148899,25.11144066,1044.125,1.394412875,0,3.5742617
